trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
586,False,"{'a': 0.5, 'e': 0.6058042444898992}",20,11,0.7756462959279624,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
587,False,"{'a': 0.5, 'e': 0.6045543848138077}",20,5,-81.36815494575707,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 2}",1
588,False,"{'a': 0.5, 'e': 0.6033030349719194}",30,13,-29.66350648750898,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
589,False,"{'a': 0.5, 'e': 0.6020501980486855}",20,0,6.607218238628009,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
590,False,"{'a': 0.5, 'e': 0.6007958771322234}",25,18,4.929302642514004,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
591,False,"{'a': 0.5, 'e': 0.599540075314308}",25,10,27.546330199523275,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
592,False,"{'a': 0.5, 'e': 0.5982827956903642}",20,5,-37.24372565728098,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
593,False,"{'a': 0.5, 'e': 0.5970240413594605}",20,0,-8.728680121941268,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
594,False,"{'a': 0.5, 'e': 0.5957638154242995}",25,13,26.11597997513294,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
595,False,"{'a': 0.5, 'e': 0.5945021209912114}",25,15,17.096652666312085,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
596,False,"{'a': 0.5, 'e': 0.5932389611701463}",30,9,12.348760888313976,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
597,False,"{'a': 0.5, 'e': 0.5919743390746662}",30,9,-56.1913605097372,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 2}",1
598,False,"{'a': 0.5, 'e': 0.5907082578219374}",30,3,-137.39431476834082,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 3}",1
599,False,"{'a': 0.5, 'e': 0.589440720532723}",30,11,-25.927233689594143,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 1}",1
600,False,"{'a': 0.5, 'e': 0.588171730331375}",20,11,-48.12641338859105,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 1}",1
601,False,"{'a': 0.5, 'e': 0.5869012903458267}",20,15,-2.20519294713918,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
602,False,"{'a': 0.5, 'e': 0.5856294037075851}",20,4,-2.3318303328324363,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
603,False,"{'a': 0.5, 'e': 0.5843560735517226}",20,0,25.912542896976333,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
604,False,"{'a': 0.5, 'e': 0.5830813030168704}",20,0,-31.76116813839141,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
605,False,"{'a': 0.5, 'e': 0.5818050952452096}",25,14,-10.787023652444248,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
606,False,"{'a': 0.5, 'e': 0.580527453382464}",25,18,13.886922798738233,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
607,False,"{'a': 0.5, 'e': 0.5792483805778926}",20,13,13.065893950725869,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.5, 'e': 0.5779678799842812}",25,11,26.234245471902756,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
609,False,"{'a': 0.5, 'e': 0.576685954757935}",25,10,2.0897860169460882,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
610,False,"{'a': 0.5, 'e': 0.5754026080586709}",25,15,-2.424115971867626,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
611,False,"{'a': 0.5, 'e': 0.5741178430498097}",30,0,-56.961582311741914,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
612,False,"{'a': 0.5, 'e': 0.5728316628981677}",30,0,-28.172864659460732,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
613,False,"{'a': 0.5, 'e': 0.5715440707740498}",25,17,11.896301401714114,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
